Dataset,ACC,NMI,ARI,Times,Peak_Alloc,Peak_Reserved
Human1,0.8859,0.8577,0.9219,16.3713,356474880,402653184
Human1,0.8864,0.8583,0.9222,16.9853,356474880,402653184
Human1,0.9520,0.9209,0.9579,14.8007,356474880,402653184
Human1,0.9169,0.9125,0.9480,22.2410,357972992,421527552
Human2,0.9362,0.9237,0.9489,21.7946,332405760,392167424
Human3,0.8510,0.8593,0.8080,25.2409,603469824,805306368
Human4,0.9210,0.9208,0.9283,20.9075,272668672,339738624
